id,n,developer,publisher,release_year,price,rating,review_count,owners,genre_list,tag_list,cat_list
10,Counter-Strike,Valve,Valve,2000,7.19,97.4,127873,15000000,['Action'],"['Action', 'FPS', 'Multiplayer']","['Multi-player', 'Online Multi-Player', 'Local Multi-Player']"
20,Team Fortress Classic,Valve,Valve,1999,3.99,84.0,3951,7500000,['Action'],"['Action', 'FPS', 'Multiplayer']","['Multi-player', 'Online Multi-Player', 'Local Multi-Player']"
30,Day of Defeat,Valve,Valve,2003,3.99,89.6,3814,7500000,['Action'],"['FPS', 'World War II', 'Multiplayer']",['Multi-player']
40,Deathmatch Classic,Valve,Valve,2001,3.99,82.7,1540,7500000,['Action'],"['Action', 'FPS', 'Multiplayer']","['Multi-player', 'Online Multi-Player', 'Local Multi-Player']"
50,Half-Life: Opposing Force,Gearbox Software,Valve,1999,3.99,94.8,5538,7500000,['Action'],"['FPS', 'Action', 'Sci-fi']","['Single-player', 'Multi-player']"
60,Ricochet,Valve,Valve,2000,3.99,80.1,3442,7500000,['Action'],"['Action', 'FPS', 'Multiplayer']","['Multi-player', 'Online Multi-Player']"
70,Half-Life,Valve,Valve,1998,7.19,96.2,28855,7500000,['Action'],"['FPS', 'Classic', 'Action']","['Single-player', 'Multi-player', 'Online Multi-Player']"
80,Counter-Strike: Condition Zero,Valve,Valve,2004,7.19,89.4,13559,15000000,['Action'],"['Action', 'FPS', 'Multiplayer']","['Single-player', 'Multi-player']"
130,Half-Life: Blue Shift,Gearbox Software,Valve,2001,3.99,90.1,4242,7500000,['Action'],"['FPS', 'Action', 'Sci-fi']",['Single-player']
220,Half-Life 2,Valve,Valve,2004,7.19,96.6,70321,15000000,['Action'],"['FPS', 'Action', 'Sci-fi']",['Single-player']
240,Counter-Strike: Source,Valve,Valve,2004,7.19,95.6,80137,15000000,['Action'],"['Action', 'FPS', 'Multiplayer']","['Multi-player', 'Cross-Platform Multiplayer']"
280,Half-Life: Source,Valve,Valve,2004,0.0,78.2,4820,3500000,['Action'],"['FPS', 'Action', 'Sci-fi']",['Single-player']
300,Day of Defeat: Source,Valve,Valve,2010,7.19,89.7,11699,7500000,['Action'],"['FPS', 'World War II', 'Multiplayer']","['Multi-player', 'Cross-Platform Multiplayer']"
320,Half-Life 2: Deathmatch,Valve,Valve,2004,3.99,88.4,6807,15000000,['Action'],"['Action', 'FPS', 'Multiplayer']",['Multi-player']
340,Half-Life 2: Lost Coast,Valve,Valve,2005,0.0,85.0,6803,15000000,['Action'],"['FPS', 'Action', 'Singleplayer']",['Single-player']
360,Half-Life Deathmatch: Source,Valve,Valve,2006,0.0,74.2,1835,7500000,['Action'],"['Action', 'FPS', 'Multiplayer']",['Multi-player']
380,Half-Life 2: Episode One,Valve,Valve,2006,5.79,93.9,8425,7500000,['Action'],"['FPS', 'Action', 'Sci-fi']",['Single-player']
400,Portal,Valve,Valve,2007,7.19,98.0,52881,15000000,['Action'],"['Puzzle', 'First-Person', 'Singleplayer']",['Single-player']
420,Half-Life 2: Episode Two,Valve,Valve,2007,5.79,95.2,14598,7500000,['Action'],"['FPS', 'Action', 'Sci-fi']",['Single-player']
440,Team Fortress 2,Valve,Valve,2007,0.0,93.8,549915,35000000,"['Action', 'Free to Play']","['Free to Play', 'Multiplayer', 'FPS']","['Multi-player', 'Cross-Platform Multiplayer']"
500,Left 4 Dead,Valve,Valve,2008,7.19,95.0,18899,7500000,['Action'],"['Zombies', 'Co-op', 'FPS']","['Single-player', 'Multi-player', 'Co-op']"
550,Left 4 Dead 2,Valve,Valve,2009,7.19,96.8,260207,15000000,['Action'],"['Zombies', 'Co-op', 'FPS']","['Single-player', 'Multi-player', 'Co-op']"
570,Dota 2,Valve,Valve,2013,0.0,85.9,1005586,150000000,"['Action', 'Free to Play', 'Strategy']","['Free to Play', 'MOBA', 'Strategy']","['Multi-player', 'Co-op']"
620,Portal 2,Valve,Valve,2011,7.19,98.7,140111,15000000,"['Action', 'Adventure']","['Puzzle', 'Co-op', 'First-Person']","['Single-player', 'Co-op']"
